Date = 2017-10-13 12:13:27.7118; IP = ::1; URL = http://localhost/; Controller = Home;
Date = 2017-10-13 12:13:39.7164; IP = ::1; URL = http://localhost/services; Controller = Labour;
Date = 2017-10-13 12:29:53.1704; IP = ::1; URL = http://localhost/; Controller = Home;
Date = 2017-10-13 12:30:16.2036; IP = ::1; URL = http://localhost/; Controller = Home;
Date = 2017-10-13 12:30:51.9564; IP = ::1; URL = http://localhost/; Controller = Home;
Date = 2017-10-13 12:30:57.5621; IP = ::1; URL = http://localhost/; Controller = Home;
Date = 2017-10-13 12:31:43.6348; IP = ::1; URL = http://localhost/; Controller = Home;
Date = 2017-10-13 12:31:50.7833; IP = ::1; URL = http://localhost/products; Controller = Machine;
Date = 2017-10-13 12:32:04.3372; IP = ::1; URL = http://localhost/services; Controller = Labour;
Date = 2017-10-13 13:28:05.9923; IP = ::1; URL = http://localhost/; Controller = Home;
Date = 2017-10-13 13:28:13.1793; IP = ::1; URL = http://localhost/; Controller = Home;
Date = 2017-10-13 13:28:21.6582; IP = ::1; URL = http://localhost/products; Controller = Machine;
Date = 2017-10-13 13:28:32.4356; IP = ::1; URL = http://localhost/services; Controller = Labour;
Date = 2017-10-13 13:29:01.1198; IP = ::1; URL = http://localhost/; Controller = Home;
Date = 2017-10-13 13:29:38.3797; IP = ::1; URL = http://localhost/products; Controller = Machine;
Date = 2017-10-13 13:30:57.0930; IP = ::1; URL = http://localhost/products/1; Controller = Machine;
Date = 2017-10-13 13:31:29.7729; IP = ::1; URL = http://localhost/products/1; Controller = Machine;
Date = 2017-10-13 13:31:32.0723; IP = ::1; URL = http://localhost/; Controller = Home;
Date = 2017-10-13 13:31:44.1843; IP = ::1; URL = http://localhost/products; Controller = Machine;
Date = 2017-10-13 13:31:58.3447; IP = ::1; URL = http://localhost/services; Controller = Labour;
Date = 2017-10-13 13:33:20.3859; IP = ::1; URL = http://localhost/services; Controller = Labour;
Date = 2017-10-13 13:33:26.1286; IP = ::1; URL = http://localhost/; Controller = Home;
Date = 2017-10-13 13:33:27.7326; IP = ::1; URL = http://localhost/; Controller = Home;
Date = 2017-10-13 13:33:32.9322; IP = ::1; URL = http://localhost/products; Controller = Machine;
Date = 2017-10-13 13:33:38.9821; IP = ::1; URL = http://localhost/products/1; Controller = Machine;
Date = 2017-10-13 13:33:42.4960; IP = ::1; URL = http://localhost/services; Controller = Labour;
Date = 2017-10-13 13:34:39.9113; IP = ::1; URL = http://localhost/products/1; Controller = Machine;
Date = 2017-10-13 13:34:41.6305; IP = ::1; URL = http://localhost/; Controller = Home;
Date = 2017-10-13 13:34:46.8173; IP = ::1; URL = http://localhost/products; Controller = Machine;
Date = 2017-10-13 13:34:59.9698; IP = ::1; URL = http://localhost/services; Controller = Labour;
Date = 2017-10-13 13:35:18.5963; IP = ::1; URL = http://localhost/contacts; Controller = Home;
Date = 2017-10-13 13:35:23.9407; IP = ::1; URL = http://localhost/services; Controller = Labour;
Date = 2017-10-13 13:36:50.5924; IP = ::1; URL = http://localhost/; Controller = Home;
Date = 2017-10-13 13:36:52.6395; IP = ::1; URL = http://localhost/; Controller = Home;
Date = 2017-10-13 13:38:01.6912; IP = ::1; URL = http://localhost/; Controller = Home;
Date = 2017-10-13 13:38:29.5388; IP = ::1; URL = http://localhost/; Controller = Home;
Date = 2017-10-13 13:40:30.2261; IP = ::1; URL = http://localhost/; Controller = Home;
Date = 2017-10-13 13:40:35.8739; IP = ::1; URL = http://localhost/products; Controller = Machine;
Date = 2017-10-13 13:40:46.5837; IP = ::1; URL = http://localhost/services; Controller = Labour;
Date = 2017-10-13 13:41:02.9006; IP = ::1; URL = http://localhost/products; Controller = Machine;
Date = 2017-10-13 13:41:04.4607; IP = ::1; URL = http://localhost/products/1; Controller = Machine;
Date = 2017-10-13 13:41:08.9407; IP = ::1; URL = http://localhost/products/1; Controller = Machine;
Date = 2017-10-13 13:42:11.2162; IP = ::1; URL = http://localhost/products/1; Controller = Machine;
Date = 2017-10-13 13:43:16.3742; IP = ::1; URL = http://localhost/products/1; Controller = Machine;
Date = 2017-10-13 13:43:38.3676; IP = ::1; URL = http://localhost/products/1; Controller = Machine;
Date = 2017-10-13 13:44:42.9203; IP = ::1; URL = http://localhost/products/1; Controller = Machine;
