Date = 2017-10-04 11:49:18.2891; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-04 11:49:25.6154; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-04 11:49:32.8980; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-04 11:49:42.5784; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-04 11:49:42.6505; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-04 11:49:50.4178; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-04 11:50:02.1937; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-04 11:50:02.2332; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-04 12:34:07.3192; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-04 12:34:20.4296; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-04 12:34:20.7056; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-04 12:34:49.3030; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-04 12:34:49.3256; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-04 12:34:55.6420; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-04 12:35:10.6129; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-04 12:35:10.6289; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-04 12:35:14.2319; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-04 12:35:17.2016; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-04 12:35:17.2181; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-04 13:12:58.6247; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-04 13:13:04.1084; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-04 13:13:15.1556; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-04 13:13:15.1776; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-04 13:13:21.7831; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-04 13:13:55.3697; IP = ; URL = ; Controller = ; Action = ;
